NAME,TM,TYPE,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD
Rosita,1990-01-04 18:00:00,T,2.0,1.0,20.0,-12.7,111.7,1004.0,12.9
Rosita,1990-01-05 00:00:00,T,2.0,1.0,20.0,-12.8,110.6,1004.0,12.9
Rosita,1990-01-05 06:00:00,T,2.0,1.0,20.0,-12.9,109.8,1002.0,12.9
Rosita,1990-01-05 12:00:00,T,2.0,1.0,20.0,-13.0,108.5,1001.0,12.9
Rosita,1990-01-05 18:00:00,T,2.0,1.0,20.0,-13.2,107.0,1001.0,12.9
Rosita,1990-01-06 00:00:00,T,2.0,1.0,20.0,-13.4,105.7,1000.0,15.4
Rosita,1990-01-06 06:00:00,T,2.0,1.0,20.0,-13.8,104.4,998.0,15.4
Rosita,1990-01-06 12:00:00,T,2.0,1.0,20.0,-14.0,104.2,1000.0,15.4
Rosita,1990-01-06 18:00:00,T,2.0,1.0,20.0,-14.3,103.8,1000.0,15.4
Rosita,1990-01-07 00:00:00,T,2.0,1.0,20.0,-14.6,103.6,1000.0,12.9
Rosita,1990-01-07 06:00:00,T,2.0,1.0,20.0,-15.0,103.4,1000.0,12.9
Rosita,1990-01-07 12:00:00,T,2.0,1.0,20.0,-15.2,103.6,1001.0,12.9
Rosita,1990-01-07 18:00:00,T,2.0,1.0,20.0,-15.2,103.8,1001.0,12.9
Rosita,1990-01-08 00:00:00,T,2.0,1.0,20.0,-15.1,104.2,1002.0,12.9
Rosita,1990-01-08 06:00:00,T,2.0,1.0,20.0,-14.9,104.3,1002.0,12.9
Rosita,1990-01-08 12:00:00,T,2.0,1.0,20.0,-14.4,104.3,1002.0,12.9
Rosita,1990-01-08 18:00:00,T,2.0,1.0,20.0,-14.0,104.2,1002.0,12.9
Rosita,1990-01-09 00:00:00,T,2.0,1.0,20.0,-13.5,104.1,1003.0,12.9
Rosita,1990-01-09 06:00:00,T,2.0,1.0,20.0,-13.2,103.8,1004.0,12.9
Rosita,1990-01-09 12:00:00,T,2.0,1.0,20.0,-12.3,103.2,1004.0,12.9
Rosita,1990-01-09 18:00:00,T,2.0,1.0,20.0,-11.6,102.6,1003.0,12.9
Rosita,1990-01-10 00:00:00,T,2.0,1.0,20.0,-10.8,102.0,1002.0,12.9
Rosita,1990-01-10 06:00:00,T,2.0,1.0,20.0,-10.0,101.3,1000.0,12.9
Rosita,1990-01-10 12:00:00,T,2.0,1.0,20.0,-9.8,100.4,1000.0,12.9
Rosita,1990-01-10 18:00:00,T,2.0,1.0,20.0,-10.0,100.2,1000.0,12.9
Rosita,1990-01-11 00:00:00,T,2.0,1.0,20.0,-10.3,100.1,1000.0,12.9
Rosita,1990-01-11 06:00:00,T,2.0,1.0,20.0,-10.5,100.1,1000.0,12.9
Rosita,1990-01-11 12:00:00,T,2.0,1.0,20.0,-10.8,100.1,1000.0,12.9
Rosita,1990-01-11 18:00:00,T,2.0,1.0,20.0,-11.0,100.3,1000.0,12.9
Rosita,1990-01-12 00:00:00,T,2.0,1.0,20.0,-11.1,100.6,1000.0,12.9
Rosita,1990-01-12 06:00:00,T,2.0,1.0,20.0,-11.3,101.1,998.0,15.4
Rosita,1990-01-12 12:00:00,T,2.0,1.0,20.0,-11.8,101.4,998.0,15.4
Rosita,1990-01-12 18:00:00,T,2.0,1.0,30.0,-12.3,101.7,997.0,18.0
Rosita,1990-01-13 00:00:00,T,2.0,1.0,30.0,-12.9,101.9,995.0,20.6
Rosita,1990-01-13 06:00:00,T,2.0,1.0,30.0,-13.4,102.1,992.0,20.6
Rosita,1990-01-13 12:00:00,T,2.0,1.0,30.0,-13.9,102.2,990.0,23.2
Rosita,1990-01-13 18:00:00,T,2.0,1.0,30.0,-14.4,102.3,988.0,23.2
Rosita,1990-01-14 00:00:00,T,2.0,1.0,30.0,-14.9,102.5,988.0,23.2
Rosita,1990-01-14 06:00:00,T,2.0,1.0,30.0,-15.4,102.6,990.0,20.6
Rosita,1990-01-14 12:00:00,T,2.0,1.0,30.0,-15.8,102.6,990.0,20.6
Rosita,1990-01-14 18:00:00,T,2.0,1.0,30.0,-16.4,102.6,994.0,20.6
Rosita,1990-01-15 00:00:00,T,2.0,1.0,30.0,-16.6,102.1,996.0,18.0
Rosita,1990-01-15 06:00:00,T,2.0,1.0,20.0,-16.3,101.6,997.0,15.4
Rosita,1990-01-15 12:00:00,T,2.0,1.0,20.0,-16.0,101.1,998.0,15.4
Rosita,1990-01-15 18:00:00,T,2.0,1.0,20.0,-15.6,100.5,999.0,15.4
Rosita,1990-01-16 00:00:00,T,2.0,1.0,20.0,-15.2,100.0,1000.0,12.9
Rosita,1990-01-16 06:00:00,T,2.0,1.0,20.0,-14.4,99.6,1000.0,12.9
Rosita,1990-01-16 12:00:00,T,2.0,1.0,20.0,-13.8,99.2,1000.0,12.9
Rosita,1990-01-16 18:00:00,T,2.0,1.0,20.0,-13.2,98.8,1000.0,12.9
Rosita,1990-01-17 00:00:00,T,2.0,1.0,20.0,-12.6,98.6,1000.0,12.9
Rosita,1990-01-17 06:00:00,T,2.0,1.0,20.0,-12.0,98.3,1001.0,12.9
Rosita,1990-01-17 12:00:00,T,2.0,1.0,20.0,-11.2,98.1,1002.0,12.9
