NAME,TM,TYPE,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD,MAX_REP_WIND_DIR,WIND_COMPASS,CENTRAL_INDEX (CI),WAVE_HEIGHT
Annie,1973-11-22 06:00:00,T,2.0,1.0,20.0,-11.0,92.6,1001.0,12.9,100.0,E,2.064004808197857,3.3374835471115607
Annie,1973-11-22 12:00:00,T,2.0,1.0,20.0,-11.1,93.1,1002.0,12.9,110.0,E,1.9504544175096625,3.093690822425731
Annie,1973-11-23 00:01:00,T,2.0,1.0,20.0,-11.1,94.2,1003.0,12.9,160.0,S,1.8292585014507152,2.838769268817055
Annie,1973-11-23 06:00:00,T,2.0,1.0,20.0,-11.1,94.6,1000.0,12.9,210.0,SW,2.171169359038437,3.571798555879381
Annie,1973-11-23 12:00:00,T,2.0,1.0,20.0,-11.2,95.0,1002.0,12.9,250.0,W,1.9504544175096625,3.093690822425731
Annie,1973-11-24 00:01:00,T,2.0,1.0,20.0,-11.5,95.7,1003.0,12.9,80.0,E,1.8292585014507152,2.838769268817055
Annie,1973-11-24 06:00:00,T,2.0,1.0,20.0,-11.6,96.0,999.0,12.9,30.0,NE,2.272896922914969,3.7979028085145177
Annie,1973-11-24 12:00:00,T,2.0,1.0,20.0,-11.7,96.3,998.0,15.4,30.0,NE,2.369923199020532,4.016795111277821
Annie,1973-11-25 00:01:00,T,2.0,1.0,30.0,-12.1,96.7,994.0,23.2,330.0,NW,2.7211835684431747,4.8343737843889
Annie,1973-11-25 06:00:00,T,2.0,1.0,30.0,-12.2,96.9,994.0,25.7,300.0,NW,2.7211835684431747,4.8343737843889
Annie,1973-11-25 12:00:00,T,2.0,1.0,30.0,-12.4,97.1,994.0,23.2,280.0,W,2.7211835684431747,4.8343737843889
Annie,1973-11-25 18:00:00,T,2.0,1.0,30.0,-12.6,97.3,994.0,23.2,280.0,W,2.7211835684431747,4.8343737843889
Annie,1973-11-26 00:01:00,T,2.0,1.0,30.0,-12.7,97.5,994.0,20.6,260.0,W,2.7211835684431747,4.8343737843889
Annie,1973-11-26 06:00:00,T,2.0,1.0,30.0,-12.7,97.9,994.0,20.6,260.0,W,2.7211835684431747,4.8343737843889
Annie,1973-11-26 12:00:00,T,2.0,1.0,30.0,-12.5,98.3,994.0,20.6,240.0,SW,2.7211835684431747,4.8343737843889
Annie,1973-11-27 00:01:00,T,2.0,1.0,30.0,-12.0,99.1,994.0,20.6,200.0,S,2.7211835684431747,4.8343737843889
Annie,1973-11-27 06:00:00,T,2.0,1.0,30.0,-11.8,99.5,994.0,20.6,180.0,S,2.7211835684431747,4.8343737843889
Annie,1973-11-27 12:00:00,T,2.0,1.0,30.0,-11.6,100.0,994.0,20.6,140.0,SE,2.7211835684431747,4.8343737843889
Annie,1973-11-28 00:01:00,T,2.0,1.0,30.0,-11.5,101.3,994.0,20.6,190.0,S,2.7211835684431747,4.8343737843889
Annie,1973-11-28 06:00:00,T,2.0,1.0,30.0,-12.0,101.8,991.0,20.6,190.0,S,2.9553819823622214,5.4001307637617755
Annie,1973-11-28 09:00:00,T,2.0,1.0,30.0,-12.3,101.9,990.0,23.2,330.0,NW,3.02911482118419,5.581491588135562
Annie,1973-11-28 21:00:00,T,2.0,1.0,30.0,-13.7,102.0,989.0,23.2,210.0,SW,3.100955855502096,5.75965119297606
Annie,1973-11-29 00:01:00,T,2.0,1.0,30.0,-14.0,102.0,988.0,25.7,200.0,S,3.171040401599453,5.934814700954278
Annie,1973-11-29 06:00:00,T,2.0,1.0,30.0,-14.5,102.1,984.0,25.7,340.0,N,3.436029288204253,6.608909326482378
Annie,1973-11-29 12:00:00,T,2.0,1.0,30.0,-14.9,102.2,983.0,28.3,210.0,SW,3.498897389674407,6.771505280409561
Annie,1973-11-30 00:01:00,T,2.0,1.0,30.0,-15.3,102.5,981.0,28.3,340.0,N,3.621102323191423,7.0904086806014295
Annie,1973-11-30 06:00:00,T,2.0,1.0,30.0,-15.6,102.9,981.0,28.3,230.0,SW,3.621102323191423,7.0904086806014295
Annie,1973-11-30 12:00:00,T,2.0,1.0,30.0,-15.9,103.4,986.0,28.3,230.0,SW,3.3064069632968023,6.276868018762456
Annie,1973-11-30 18:00:00,T,2.0,1.0,30.0,-15.7,103.9,986.0,28.3,140.0,SE,3.3064069632968023,6.276868018762456
Annie,1973-12-01 00:01:00,T,2.0,1.0,30.0,-15.5,104.2,988.0,28.3,140.0,SE,3.171040401599453,5.934814700954278
