,index,NAME,TM,TYPE,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD,MAX_REP_WIND_DIR,WIND_COMPASS,CENTRAL_INDEX (CI)
0,1195,ORSON ,1989-04-22 03:00:00,T,2.0,1.0,40.0,-16.8,116.1,905.0,66.9,120.0,SE,6.718890280658679
1,1334,THEODORE ,1994-02-25 12:00:00,T,4.0,1.0,40.0,-14.2,157.3,915.0,56.6,280.0,W,6.403473058700524
2,499,JOAN ,1975-12-07 01:00:00,T,2.0,1.0,40.0,-17.6,117.9,915.0,59.2,310.0,NW,6.403473058700524
3,1546,JOHN ,1999-12-14 04:00:00,T,2.0,1.0,40.0,-18.5,117.5,915.0,56.6,100.0,E,6.403473058700524
4,1314,REWA ,1994-01-02 12:00:00,T,4.0,1.0,40.0,-16.9,153.9,920.0,56.6,70.0,E,6.239283286714837
5,1529,VANCE ,1999-03-21 18:00:00,T,2.0,1.0,40.0,-20.0,114.5,920.0,56.6,125.0,SE,6.239283286714837
6,1376,CHLOE ,1995-04-07 06:00:00,T,2.0,1.0,40.0,-14.6,123.3,920.0,61.7,0.0,N,6.239283286714837
7,1666,INGRID ,2005-03-11 18:00:00,T,3.0,1.0,40.0,-11.9,136.8,924.0,64.3,120.0,SE,6.10448716930785
8,1680,GLENDA ,2006-03-29 18:00:00,T,2.0,1.0,40.0,-18.8,116.7,924.0,51.4,60.0,NE,6.10448716930785
9,1351,BOBBY ,1995-02-24 09:00:00,T,2.0,1.0,40.0,-21.3,115.6,925.0,54.0,275.0,W,6.070281891301724
