,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD,MAX_REP_WIND_DIR,WIND_COMPASS,CENTRAL_INDEX (CI)
0,2.0,1.0,20.0,-11.0,92.6,1001.0,12.9,100.0,E,2.064004808197857
1,2.0,1.0,20.0,-11.1,93.1,1002.0,12.9,110.0,E,1.9504544175096625
2,2.0,1.0,20.0,-11.1,94.2,1003.0,12.9,160.0,S,1.8292585014507152
3,2.0,1.0,20.0,-11.1,94.6,1000.0,12.9,210.0,SW,2.171169359038437
4,2.0,1.0,20.0,-11.2,95.0,1002.0,12.9,250.0,W,1.9504544175096625
5,2.0,1.0,20.0,-11.5,95.7,1003.0,12.9,80.0,E,1.8292585014507152
6,2.0,1.0,20.0,-11.6,96.0,999.0,12.9,30.0,NE,2.272896922914969
7,2.0,1.0,20.0,-11.7,96.3,998.0,15.4,30.0,NE,2.369923199020532
8,2.0,1.0,30.0,-12.1,96.7,994.0,23.2,330.0,NW,2.7211835684431747
9,2.0,1.0,30.0,-12.2,96.9,994.0,25.7,300.0,NW,2.7211835684431747
10,2.0,1.0,30.0,-12.4,97.1,994.0,23.2,280.0,W,2.7211835684431747
11,2.0,1.0,30.0,-12.6,97.3,994.0,23.2,280.0,W,2.7211835684431747
12,2.0,1.0,30.0,-12.7,97.5,994.0,20.6,260.0,W,2.7211835684431747
13,2.0,1.0,30.0,-12.7,97.9,994.0,20.6,260.0,W,2.7211835684431747
14,2.0,1.0,30.0,-12.5,98.3,994.0,20.6,240.0,SW,2.7211835684431747
15,2.0,1.0,30.0,-12.0,99.1,994.0,20.6,200.0,S,2.7211835684431747
16,2.0,1.0,30.0,-11.8,99.5,994.0,20.6,180.0,S,2.7211835684431747
17,2.0,1.0,30.0,-11.6,100.0,994.0,20.6,140.0,SE,2.7211835684431747
18,2.0,1.0,30.0,-11.5,101.3,994.0,20.6,190.0,S,2.7211835684431747
19,2.0,1.0,30.0,-12.0,101.8,991.0,20.6,190.0,S,2.9553819823622214
20,2.0,1.0,30.0,-12.3,101.9,990.0,23.2,330.0,NW,3.02911482118419
21,2.0,1.0,30.0,-13.7,102.0,989.0,23.2,210.0,SW,3.100955855502096
22,2.0,1.0,30.0,-14.0,102.0,988.0,25.7,200.0,S,3.171040401599453
23,2.0,1.0,30.0,-14.5,102.1,984.0,25.7,340.0,N,3.436029288204253
24,2.0,1.0,30.0,-14.9,102.2,983.0,28.3,210.0,SW,3.498897389674407
25,2.0,1.0,30.0,-15.3,102.5,981.0,28.3,340.0,N,3.621102323191423
26,2.0,1.0,30.0,-15.6,102.9,981.0,28.3,230.0,SW,3.621102323191423
27,2.0,1.0,30.0,-15.9,103.4,986.0,28.3,230.0,SW,3.3064069632968023
28,2.0,1.0,30.0,-15.7,103.9,986.0,28.3,140.0,SE,3.3064069632968023
29,2.0,1.0,30.0,-15.5,104.2,988.0,28.3,140.0,SE,3.171040401599453
30,2.0,1.0,30.0,-15.2,104.1,987.0,25.7,140.0,SE,3.239488445091218
31,2.0,1.0,30.0,-15.0,102.9,994.0,23.2,310.0,NW,2.7211835684431747
32,2.0,1.0,20.0,-10.3,116.8,1004.0,12.9,260.0,W,1.6986825976362856
33,2.0,1.0,30.0,-10.7,118.1,988.0,25.7,50.0,NE,3.171040401599453
34,2.0,1.0,30.0,-10.8,118.3,983.0,25.7,70.0,E,3.498897389674407
35,2.0,1.0,30.0,-10.9,118.4,981.0,28.3,50.0,NE,3.621102323191423
36,2.0,1.0,30.0,-10.9,118.5,981.0,28.3,50.0,NE,3.621102323191423
37,2.0,1.0,30.0,-11.0,118.5,981.0,28.3,40.0,NE,3.621102323191423
